TagCode,GroupCode,ServerCode,TagName,DataType,DataSize,DataCount,Address,ClassName,DisplayOrder,Archive,Cycle,AutoSync,Active,ReadOnly,Remark,CreateTime,UpdateTime,RowVersion,
bo_GroupStatus,InteractiveGroup,CR01Server,"[RemoteOp,LocalOp~AlarmPresent]",1,1,8,DB61.DBX40.0,CRREP,10,1,1,0,1,0,,22-11月-19,22-11月-19,65640254D2C21A418DE25CF6290B8FB4,
bo_TransportsActive,InteractiveGroup,CR01Server,TransportsActive,1,1,1,DB60.DBX48.0,CRCMD,9,1,1,0,1,0,,22-11月-19,22-11月-19,A67BCF33D678894196BA43323C5D495D,
AlarmArray,InteractiveGroup,CR02Server,报警数组,1,1,624,DB70.DBX0.0,报警,1,1,1,0,1,0,,22-11月-19,22-11月-19,5F347DE21400604694C14AED94DCAB91,
bo_CarrierStatus,InteractiveGroup,CR02Server,"[RemoteOp,LocalOp~AlarmPresent]",1,1,8,DB61.DBX36.0,CRREP,8,1,1,0,1,0,,22-11月-19,22-11月-19,D9215A8F79F68746822744F9F74ED61F,
bo_ChannelEmpty,InteractiveGroup,CR02Server,ChannelEmpty,1,1,1,DB60.DBX30.0,CRCMD,7,1,1,0,1,0,,22-11月-19,22-11月-19,DE0B0C10FEC33F46AC10256AA334637D,
bo_FunctionMode,InteractiveGroup,CR02Server,"[Auto,Semi,Man,Stop,Rev,Emo]",1,1,6,DB60.DBX50.0,CRCMD,10,1,1,0,1,0,,22-11月-19,22-11月-19,033B370D3E85F54CBC46A8C60756639E,
bo_FunctionModeStatus,InteractiveGroup,CR02Server,"[Auto,Semi,Man,Astp,ReadyAuto~AlarmPresent]",1,1,8,DB61.DBX8.0,CRREP,5,1,1,0,1,0,,22-11月-19,22-11月-19,3B344016F9D41A4B814EC2B503AB8227,
bo_GroupStatus,InteractiveGroup,CR02Server,"[RemoteOp,LocalOp~AlarmPresent]",1,1,8,DB61.DBX40.0,CRREP,10,1,1,0,1,0,,22-11月-19,22-11月-19,4D83D5E0381E594C994DC40E6D9BAAD0,
bo_TransportsActive,InteractiveGroup,CR02Server,TransportsActive,1,1,1,DB60.DBX48.0,CRCMD,9,1,1,0,1,0,,22-11月-19,22-11月-19,925E197AF15B6D4A8C4DF65968199874,
i16_ActLH,InteractiveGroup,CR02Server,ActLH,4,2,1,DB61.INT12,CRREP,6,1,1,0,1,0,,22-11月-19,22-11月-19,3888DB666C75F143AE4114F297E02493,
i16_ActPosition,InteractiveGroup,CR02Server,"[Ap,PosA,PosR,PosXF,PosXP,PosY,PosZ]",4,2,7,DB61.INT14,CRREP,7,1,1,0,1,0,,22-11月-19,22-11月-19,2DEE0BD06A6DCC42B3C86861F9853FD6,
i16_BSCmd,InteractiveGroup,CR02Server,BSCmd,4,2,1,DB60.INT0,CRCMD,1,1,1,0,1,0,,22-11月-19,22-11月-19,8F39FD881D728C478B40FDF2EC928F0F,
i16_BSRep,InteractiveGroup,CR02Server,BSRep,4,2,1,DB61.INT0,CRREP,1,1,1,0,1,0,,22-11月-19,22-11月-19,52E08B2A7E13744E8F32359CB6A8319D,
i16_CarrierFuncMode,InteractiveGroup,CR02Server,CarrierFuncMode,4,2,1,DB61.INT38,CRREP,9,1,1,0,1,0,,22-11月-19,22-11月-19,3982C319F1BA5049B0A61D70FAA5CCD0,
i16_CmdNum,InteractiveGroup,CR02Server,CmdNum,4,2,1,DB60.INT4,CRCMD,3,1,1,0,1,0,,22-11月-19,22-11月-19,67D2C332A82B7545972C131B654895FF,
i16_CmdNumRep,InteractiveGroup,CR02Server,CmdNumRep,4,2,1,DB61.INT4,CRREP,3,1,1,0,1,0,,22-11月-19,22-11月-19,AA79A99FCC4E1740907D0A772BBBA899,
i16_GroupFuncMode,InteractiveGroup,CR02Server,GroupFuncMode,4,2,1,DB61.INT42,CRREP,11,1,1,0,1,0,,22-11月-19,22-11月-19,02C31DA3C8AC83488CB6780FA5183840,
i16_MCCmd,InteractiveGroup,CR02Server,MCCmd,4,2,1,DB60.INT2,CRCMD,2,1,1,0,1,0,,22-11月-19,22-11月-19,146F39E5F203E947994B056F7D6E4E20,
i16_MCRep,InteractiveGroup,CR02Server,MCRep,4,2,1,DB61.INT2,CRREP,2,1,1,0,1,0,,22-11月-19,22-11月-19,3B8D8690EAF9C640B088F6D5579B03EB,
i16_SetLH,InteractiveGroup,CR02Server,"[LT1,LT2,SetLH]",4,2,3,DB60.INT8,CRCMD,5,1,1,0,1,0,,22-11月-19,22-11月-19,452805DCEA455842AD3DF94756964B3F,
i16_SetPosition,InteractiveGroup,CR02Server,"[Ap,PosA,PosR,PosXF,PosXP,PosY,PosZ]",4,2,7,DB60.INT14,CRCMD,6,1,1,0,1,0,,22-11月-19,22-11月-19,D66042004DEE184EB66C11054DCA5817,
i16_SleepMode,InteractiveGroup,CR02Server,SleepMode,4,2,1,DB60.INT32,CRCMD,8,1,1,0,1,0,,22-11月-19,22-11月-19,CFC1B0B9E89A434B8811A2A8D7F45C09,
u16_FuncCode,InteractiveGroup,CR02Server,FuncCode,5,2,1,DB60.WORD6,CRCMD,4,1,1,0,1,0,,22-11月-19,22-11月-19,8FA5532ED3528B41A320B317AB67B11E,
u16_FuncRep,InteractiveGroup,CR02Server,FunRep,5,2,1,DB61.WORD6,CRREP,4,1,1,0,1,0,,22-11月-19,22-11月-19,058452CF7E86A24B95E55E342D586316,
Heartbeat_I,Heartbeat,WCSServer,心跳,1,1,1,DB711,DBX0,控制交互,1,1,1,0,1,0,,22-11月-19,22-11月-19,E980C565A7FE415D8DAC49D830C7F79A
Heartbeat_O,Heartbeat,WCSServer,心跳交互,1,1,1,DB711,DBX0.1,控制交互,1,1,1,0,1,0,,22-11月-19,22-11月-19,D2D18774D04B45A389D3B528BAD5A0B7
ScanCodeInboundSign01,ScanCodeInbound,WCSServer,申请辅料入库请求标志位01,7,4,1,DB521.DINT16,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,AC88B69B6EA34F9F879EA5C18A84C1D8,
ScanCodeInbound01,ScanCodeInbound,WCSServer,申请辅料入库请求01,7,4,4,DB521.DINT0,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,DB61C3C7E33F4ABD8BF448767CFF0138,
ScanCodeInboundFeedback01,ScanCodeInbound,WCSServer,申请辅料入库反馈01,7,4,7,DB522.DINT0,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,CD307F947D5B447EB377EDDA940CFDC6,
ScanCodeInboundSign02,ScanCodeInbound,WCSServer,申请辅料入库请求标志位02,7,4,1,DB521.DINT36,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,60D2F2176AAC46D8B2B5F641A2406389,
ScanCodeInbound02,ScanCodeInbound,WCSServer,申请辅料入库请求02,7,4,4,DB521.DINT20,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,EEF3C3BD3C4A44DD8D774357E577F5A3,
ScanCodeInboundFeedback02,ScanCodeInbound,WCSServer,申请辅料入库反馈02,7,4,7,DB522.DINT28,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,D4BC6C4F49254D8F92716648A40B4C7F,
ScanCodeInboundSign03,ScanCodeInbound,WCSServer,申请辅料入库请求标志位03,7,4,1,DB521.DINT56,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,FE6C7BE93EA24E7CA933E3EEECCCE69C,
ScanCodeInbound03,ScanCodeInbound,WCSServer,申请辅料入库请求03,7,4,4,DB521.DINT40,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,A655E115FFF2448286118302B63214C6,
ScanCodeInboundFeedback03,ScanCodeInbound,WCSServer,申请辅料入库反馈03,7,4,7,DB522.DINT56,申请辅料入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,EC037FBFF9A045FABF44511826348F83,
ApplyBackStorageSign01,ApplyBackStorage,WCSServer,申请回库请求标志位01,7,4,1,DB581.DINT20,申请回库,1,1,1,0,1,0,,22-11月-19,22-11月-19,4DAB7D7398604718B2A548DB0C16B80E,
ApplyBackStorage01,ApplyBackStorage,WCSServer,申请回库请求01,7,4,5,DB581.DINT0,申请回库,1,1,1,0,1,0,,22-11月-19,22-11月-19,4540CA58B5154C1A99D3DEE8811F19B5,
ApplyBackStorageFeedback01,ApplyBackStorage,WCSServer,申请回库反馈01,7,4,7,DB582.DINT0,申请回库,1,1,1,0,1,0,,22-11月-19,02-11月-20,D6603A0AA3CC844DB17B77682E0D2F27,
EmptyPalletInboundSign01,EmptyPalletInbound,WCSServer,请求空托盘入库请求标志位01,7,4,1,DB591.DINT16,请求空托盘入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,0F404D3865BF492DA63A7C4F5AF9F62E,
EmptyPalletInbound01,EmptyPalletInbound,WCSServer,请求空托盘入库请求01,7,4,4,DB591.DINT0,请求空托盘入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,25175E582E9144B5AB96BC8F2C68E55E,
EmptyPalletInboundFeedback01,EmptyPalletInbound,WCSServer,请求空托盘入库反馈01,7,4,6,DB592.DINT0,请求空托盘入库,1,1,1,0,1,0,,22-11月-19,22-11月-19,3CFA15D8FDE5476BAE5D0617655DF144,
TaskArriveRequestSign01,TaskArrive,WCSServer,任务到达请求标志位01,7,4,1,DB531.DINT16,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,4607D63DD5F049D08203AAB77B850A97,
TaskArriveRequest01,TaskArrive,WCSServer,任务到达请求01,7,4,4,DB531.DINT0,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,E61082C713AA41ADB2DBB205085F57E5,
TaskArriveFeedback01,TaskArrive,WCSServer,任务到达反馈01,7,4,5,DB532.DINT0,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,9B2DC12D92CD452CA0E56237F4BA2430,
TaskArriveRequestSign02,TaskArrive,WCSServer,任务到达请求标志位02,7,4,1,DB531.DINT36,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,183D8064C6DA4AA4A75336FA3D6C82F6,
TaskArriveRequest02,TaskArrive,WCSServer,任务到达请求02,7,4,4,DB531.DINT20,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,1EE96A06CF2B4151990E8F41EFA7F019,
TaskArriveFeedback02,TaskArrive,WCSServer,任务到达反馈02,7,4,5,DB532.DINT20,任务到达,1,1,1,0,1,0,,22-11月-19,22-11月-19,8CCE0E1F3F3C4857829E4A2997E5AE2E,
PutCompleted01,CR,WCSServer,放货完成 ,7,4,6,DB553.DINT0,1号堆垛机,1,1,1,0,1,0,,28-11月-19,28-11月-19,06DC5AE72168E44BAB20D4F0561AD7F4,
PutCompleted02,CR,WCSServer,放货完成 ,7,4,6,DB553.DINT24,2号堆垛机,1,1,1,0,1,0,,28-11月-19,28-11月-19,E85FF0DF9C0FB846B2B2203CF3DF7AC1,
RequestGet02,AGV,WCSServer,请求取货02,7,4,4,DB541.DINT32,AGV02取货口,1,1,1,0,1,0,,29-11月-19,30-11月-19,892CA4771220564EB51E589896B199FF,
PermitGet02,AGV,WCSServer,允许取货02,7,4,1,DB542.DINT8,AGV02取货口,1,1,1,0,1,0,,29-11月-19,30-11月-19,5F7B5B5C033F504384590D52C652E95D,
GetCompleted02,AGV,WCSServer,取货完成02,7,4,4,DB543.DINT32,AGV02取货口,1,1,1,0,1,0,,29-11月-19,30-11月-19,7E55DF04CBF1F347A2955E86F646FBBC,
GetCompletedReceived01,AGV,WCSServer,取货接收完成01,7,4,1,DB544.DINT12,AGV01取货口,1,1,1,0,1,0,,30-11月-19,30-11月-19,37D6C5E8E6E0CB46A52AE51BCE6B97E8,
GetCompletedReceived02,AGV,WCSServer,取货接收完成02,7,4,1,DB544.DINT8,AGV02取货口,1,1,1,0,1,0,,30-11月-19,30-11月-19,FD570AE4E90E7B4AA9A952451A9890A5,
CR01AlarmArray,CR,WCSServer,1号堆垛机报警数组,1,1,0,DB760.DBX0.0,1号堆垛机,1,1,1,0,1,0,,19-4月 -20,19-4月 -20,30C1A9E4F748264C925F5CC76138E053,
CR02AlarmArray,CR,WCSServer,2号堆垛机报警数组,1,1,0,DB760.DBX78.0,2号堆垛机,1,1,1,0,1,0,,19-4月 -20,19-4月 -20,FE259E118095D748B5BA21F77E99369D,
QuantityFeedback,ProductInfoSummary,WCSServer,各产品总数量,7,4,200,DB804.DINT5600,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,B7832B9CC417164AA596322CD04729F3,
AGV01Status,AGV,WCSServer,1#AGV小车状态,1,1,10,DB600.DBX0.0,AGV状态,1,1,1,0,1,0,,17-8月 -20,17-8月 -20,6CED043D093D514E8D150503FC342ABC,
ProductFeedback,LocationInfo,WCSServer,产品反馈,11,40,1,DB802.STRING0,货位托盘信息,1,1,1,0,1,0,,17-10月-20,08-11月-20,DFD2855A7EA976448EF76F6B62E2428E,
PalletRequestSign,LocationInfo,WCSServer,盘位请求标志,7,4,1,DB801.DINT4,货位托盘信息,1,1,1,0,1,0,,17-10月-20,08-11月-20,DD5369700FE3FD49BF0E402B2FFCD873,
StorageInfoFeedback01,LocationInfo,WCSServer,库存信息反馈01,11,40,1,DB802.STRING40,货位托盘信息,1,1,1,0,1,0,,08-11月-20,08-11月-20,854C4C6089F1D94EAC234701A9754130,
StorageInfoFeedback03,LocationInfo,WCSServer,库存信息反馈03,11,40,1,DB802.STRING120,货位托盘信息,1,1,1,0,1,0,,08-11月-20,08-11月-20,35F4DAD7B1439C48B74CCF848CF47C66,
ProductNameFeedback165,ProductInfoSummary,WCSServer,产品名称反馈165,11,28,1,DB804.STRING4592,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,4B90C86F774D47D28B63417D6B17658C,
ProductNameFeedback166,ProductInfoSummary,WCSServer,产品名称反馈166,11,28,1,DB804.STRING4620,产品信息统计,1,1,1,0,1,0,,16-1月 -21,16-1月 -21,8A9EBAAA171F4C98A0D37DAA03A25171,
